,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
881,881,Resident Evil: Afterlife,2010,1h 36min,37,5.8,448,128,Paul W.S. Anderson,Paul W.S. Anderson,Screen Gems,60000000,60128566,300228084,2.39 : 1,96
882,882,Deep Rising,1998,1h 46min,0,6.1,309,137,Stephen Sommers,Stephen Sommers,Calimari Productions,45000000,11203026,11203026,2.39 : 1,106
883,883,Maverick,1994,2h 7min,62,7.0,136,51,Richard Donner,Roy Huggins,Donner/Shuler-Donner Productions,75000000,101631272,183031272,2.39 : 1,127
884,884,Revolver,2005,1h 51min,25,6.4,527,116,Guy Ritchie,Luc Besson,EuropaCorp,0,84738,7155807,2.35 : 1,111
885,885,Hard Target,1993,1h 37min,63,6.2,219,102,John Woo,Chuck Pfarrer,Universal Pictures,18000000,32589677,74189677,1.85 : 1,97
886,886,Keeping Up with the Joneses,2016,1h 45min,34,5.9,113,114,Greg Mottola,Michael LeSieur,Fox 2000 Pictures,40000000,14904426,29918745,2.39 : 1,105
887,887,Dead Man Down,2013,1h 58min,39,6.5,159,227,Niels Arden Oplev,J.H. Wyman,FilmDistrict,30000000,10895295,18074539,2.35 : 1,118
888,888,Cutthroat Island,1995,2h 4min,37,5.7,204,74,Renny Harlin,Michael Frost Beckner,Beckner/Gorman Productions,98000000,10017322,10017322,2.39 : 1,124
889,889,Ninja Assassin,2009,1h 39min,34,6.3,249,250,James McTeigue,Matthew Sand,Warner Bros.,40000000,38122883,61601280,2.35 : 1,99
890,890,Eight Legged Freaks,2002,1h 39min,53,5.4,318,199,Ellory Elkayem,Ellory Elkayem,Warner Bros.,30000000,17322606,45867333,2.39 : 1,99
891,891,The Edge,1997,1h 57min,0,6.9,230,91,Lee Tamahori,David Mamet,Art Linson Productions,30000000,27873386,43312294,2.35 : 1,117
892,892,Grosse Pointe Blank,1997,1h 47min,76,7.3,330,76,George Armitage,Tom Jankiewicz,Hollywood Pictures,15000000,28084357,28084357,1.85 : 1,107
